PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Stanly, C; Bhatt, A; Keng, CL				Stanly, Christine; Bhatt, Arvind; Keng, Chan Lai			A comparative study of Curcuma zedoaria and Zingiber zerumbet plantlet production using different micropropagation systems	AFRICAN JOURNAL OF BIOTECHNOLOGY			English	Article						Temporary immersion system; medicinal plant; acclimatization; Curcuma zedoaria; Zingiber zerumbet	TEMPORARY IMMERSION BIOREACTOR; SHOOT REGENERATION; HERBAL MEDICINE; TISSUE-CULTURE; LIQUID-MEDIUM; IN-VITRO; PROPAGATION; CELLS; RHIZOMA; GROWTH	Curcuma zedoaria and Zingiber zerumbet plantlets could be micropropagated via induction of multiple shoots from in vitro shoot explants using different culture systems such as the agar-gelled medium cultures, shake flask system and temporary immersion system (TIS). The immersion period in TIS did not influence shoot multiplication rates of both species. However, proliferation medium ( MS plus 0.5 mg/L BA and 0.5 mg/L IBA) supplemented with different sucrose concentration affected the production of multiple shoots but did not affect the fresh and dried shoot biomass for both species when using TIS. The TIS was able to eliminate hyperhydricity problem encountered when using the shake flask system. However, all the in vitro plantlets of both species produced by the three culture systems survived and grew normally with no morphological changes after acclimatization. This study indicated that TIS was the best choice of in vitro propagation technique for production of normal C. zedoaria and Z. zerumbet plantlets.	[Stanly, Christine; Bhatt, Arvind; Keng, Chan Lai] Univ Sains Malaysia, Sch Biol Sci, George Town 11800, Malaysia		Keng, CL (autor correspondente), Univ Sains Malaysia, Sch Biol Sci, George Town 11800, Malaysia.	lkchan@usm.my							37	10	12	0	6	ACADEMIC JOURNALS	VICTORIA ISLAND	P O BOX 5170-00200 NAIROBI, VICTORIA ISLAND, LAGOS 73023, NIGERIA	1684-5315			AFR J BIOTECHNOL	Afr. J. Biotechnol.	JUL 12	2010	9	28					4326	4333						8	Biotechnology & Applied Microbiology	Science Citation Index Expanded (SCI-EXPANDED)	Biotechnology & Applied Microbiology	631LR					2022-09-29	WOS:000280349000005
J	Jena, S; Ray, A; Sahoo, A; Sahoo, S; Dash, B; Kar, B; Nayak, S				Jena, Sudipta; Ray, Asit; Sahoo, Ambika; Sahoo, Suprava; Dash, Biswabhusan; Kar, Basudeba; Nayak, Sanghamitra			Rapid plant regeneration in industrially important Curcuma zedoaria revealing genetic and biochemical fidelity of the regenerants	3 BIOTECH			English	Article						Micropropagation; Curcuma zedoaria; Genetic fidelity; Essential oil; GC-MS; HPLC	IN-VITRO PROPAGATION; CORONARIUM J. KOENIG; CLONAL PROPAGATION; FLOW-CYTOMETRY; ESSENTIAL OIL; STABILITY; L.; MICROPROPAGATION; EFFICIENT; RHIZOME	The present investigation was carried out to establish an efficient and reproducible micropropagation protocol for the production of morphologically, genetically and chemically uniform plants of Curcuma zedoaria. Axillary bud explants of C. zedoaria were inoculated into MS basal medium supplemented with various combinations and concentrations of 6-benzyladenine (2.2-22.2 mu M, BA), kinetin (2.3-23.2 mu M, Kin), indole-3-acetic acid (2.9-11.4 mu M, IAA), alpha-naphthalene acetic acid (2.7-10.2 mu M, NAA) and adenine sulphate (33.9-203.6 mu M, Ads). Almost 95% of rhizome buds sprouted on MS medium supplemented with 13.3 mu M BA, 5.7 mu M IAA and 63.9 mu M Ads giving rise to an average of 12.89 +/- 0.02 shoots within 6 weeks. However, the maximum number of roots (25.8 +/- 0.07 roots per explant) was obtained on half strength MS medium supplemented with 7.4 mu M of IBA after 4 weeks of inoculation. Morphological characteristics were similar in both conventionally propagated and micropropagated plants. Additionally, genetic homogeneity of in vitro plants was further confirmed through ISSR and flow cytometry analysis. A total of 27 ISSR primers were screened, out of which 13 ISSR primers generated 58 monomorphic and reproducible bands thereby confirming the genetic uniformity of obtained plants. The mean 2C DNA content of the mother plant (2.96 pg) was similar to that of in vitro derived plants (3.07 pg). Gas chromatographymass spectrometry (GC-MS) analysis showed similarity in the qualitative profile of chemical constituents of essential oil and high-performance liquid chromatography analysis revealed no significant differences in curcumin content in the tissue culture regenerants and mother plants of C. zedoaria. Therefore, the present micropropagation protocol could be effectively employed to generate true to type plantlets of C. zedoaria.	[Jena, Sudipta; Ray, Asit; Sahoo, Ambika; Sahoo, Suprava; Dash, Biswabhusan; Kar, Basudeba; Nayak, Sanghamitra] Siksha O Anusandhan, Ctr Biotechnol, Bhubaneswar, Odisha, India		Nayak, S (autor correspondente), Siksha O Anusandhan, Ctr Biotechnol, Bhubaneswar, Odisha, India.	sanghamitran24@gmail.com	Nayak, Sanghamitra/AAW-9450-2020; Ray, Asit/J-7909-2019	Ray, Asit/0000-0002-6111-9529; Sahoo, Suprava/0000-0002-0353-8071; Nayak, Sanghamitra/0000-0001-9038-261X					65	7	7	1	9	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	2190-572X	2190-5738		3 BIOTECH	3 Biotech	JAN	2020	10	1							17	10.1007/s13205-019-2009-9	http://dx.doi.org/10.1007/s13205-019-2009-9			13	Biotechnology & Applied Microbiology	Science Citation Index Expanded (SCI-EXPANDED)	Biotechnology & Applied Microbiology	KH7RT	31879581	Green Published			2022-09-29	WOS:000510848000009
J	Rahman, SNSA; Wahab, NA; Abd Malek, SN				Rahman, Syarifah Nur Syed Abdul; Wahab, Norhanom Abdul; Abd Malek, Sri Nurestri			In Vitro Morphological Assessment of Apoptosis Induced by Antiproliferative Constituents from the Rhizomes of Curcuma zedoaria	EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE			English	Article							CANCER; CHEMOPREVENTION; CYTOTOXICITY	Bioassay-guided isolation of the active hexane fractions of Curcuma zedoaria led to the identification of five pure compounds, namely, curzerenone (1), neocurdione (2), curdione (3), alismol (4), and zederone (5) and a mixture of sterols, namely, campesterol (6), stigmasterol (7), and beta-sitosterol (8). Alismol has never been reported to be present in Curcuma zedoaria. All isolated compounds except (3) were evaluated for their cytotoxic activity against MCF-7, Ca Ski, and HCT-116 cancer cell lines and noncancer human fibroblast cell line (MRC-5) using neutral red cytotoxicity assay. Curzerenone and alismol significantly inhibited cell proliferation in human cancer cell lines MCF-7, Ca Ski, and HCT-116 in a dose-dependent manner. Cytological observations by an inverted phase contrast microscope and Hoechst 33342/PI dual-staining assay showed typical apoptotic morphology of cancer cells upon treatment with curzerenone and alismol. Both compounds induce apoptosis through the activation of caspase-3. It can thus be suggested that curzerenone and alismol are modulated by apoptosis via caspase-3 signalling pathway. The findings of the present study support the use of Curcuma zedoaria rhizomes in traditional medicine for the treatment of cancer-related diseases. Thus, two naturally occurring sesquiterpenoids, curzerenone and alismol, hold great promise for use in chemopreventive and chemotherapeutic strategies.	[Rahman, Syarifah Nur Syed Abdul; Abd Malek, Sri Nurestri] Univ Malaya, Inst Biol Sci, Fac Sci, Kuala Lumpur 50603, Malaysia; [Wahab, Norhanom Abdul] Univ Malaya, Ctr Fdn Studies, Kuala Lumpur 50603, Malaysia		Abd Malek, SN (autor correspondente), Univ Malaya, Inst Biol Sci, Fac Sci, Kuala Lumpur 50603, Malaysia.	srimalek@um.edu.my	Syed Abdul Rahman, Syarifah Nur/AAT-2858-2021; RAHMAN, SYARIFAH NUR SYED ABDUL/E-6910-2017; Malek, Sri Nurestri/W-8556-2019; Malek, Sri Nurestri Abd/B-9834-2010	Syed Abdul Rahman, Syarifah Nur/0000-0001-9158-3798; RAHMAN, SYARIFAH NUR SYED ABDUL/0000-0001-9158-3798; Malek, Sri Nurestri/0000-0001-6278-8559; Malek, Sri Nurestri Abd/0000-0001-6278-8559	Ministry of Higher Education of Malaysia; University of Malaya [HIR MOHE F000002-21001, RG015-09BIO, PV036/2011B]	Ministry of Higher Education of Malaysia(Ministry of Education, Malaysia); University of Malaya(Universiti Malaya)	The authors wish to acknowledge the Ministry of Higher Education of Malaysia and the University of Malaya for financial assistance received through the following grants: HIR MOHE F000002-21001, RG015-09BIO, and PV036/2011B.		29	89	94	0	19	HINDAWI LTD	LONDON	ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND	1741-427X	1741-4288		EVID-BASED COMPL ALT	Evid.-based Complement Altern. Med.		2013	2013								257108	10.1155/2013/257108	http://dx.doi.org/10.1155/2013/257108			14	Integrative & Complementary Medicine	Science Citation Index Expanded (SCI-EXPANDED)	Integrative & Complementary Medicine	157VD	23762112	Green Published, gold			2022-09-29	WOS:000319926500001
J	Lakshmi, DVN; Muthukumar, P; Ekka, JP; Nayak, PK; Layek, A				Lakshmi, Durga V. N.; Muthukumar, Palanisamy; Ekka, Jasinta P.; Nayak, Prakash K.; Layek, Apurba			Performance comparison of mixed mode and indirect mode parallel flow forced convection solar driers for drying Curcuma zedoaria	JOURNAL OF FOOD PROCESS ENGINEERING			English	Article							LONGA L.; KINETICS; QUALITY; SYSTEM; DRYER	This study focuses on energy and drying kinetic analyses of Curcuma zedoaria (white turmeric) dried in mixed and indirect active parallel flow solar dryers. Dryer efficiency, specific energy consumption and drying rate are studied. The overall dryer efficiency of mixed mode (MFSCD) is 26.5% higher than indirect mode (IFSCD) solar dryer. Two term model and Verma model fit best for Curcuma zedoaria drying in MFSCD and IFSCD, respectively, and Logarithmic model is quite suitable for open sun drying (OSD). The effective moisture diffusivity of the product dried under MFSCD is highest as compared to IFSCD and OSD products. The quality analyses show that higher values of TFC (78.11 mg GAE/g of sample) and DPPH (120.56 mu mol of TE/g of sample) are reported in the samples dried in MFSCD as compared to IFSCD and OSD samples. Practical applications Conventional open sun drying is a common practice followed by small farmers for drying herbs and spices. Products dried under open sun lose their nutritional and medicinal values due to slow drying rate and improper heating. The present work focusses on the development of a low cost solar dryer for drying of high value medicinal herbs like Curcuma zedoaria, curcuma caesia, and black cardamom. Study of drying kinetics helps in improving the design aspects of solar dryer and optimization of the drying systems. Drying time of the Curcuma zedoaria dried in the developed dryer is about 60% less than the open sun drying and the retention of color, antioxidant, and texture of the solar dried products is excellent. The developed solar dryer will be suitable for small small-scale farmers and can be scaled up to any size.	[Lakshmi, Durga V. N.; Layek, Apurba] Natl Inst Technol Durgapur, Dept Mech Engn, Durgapur, W Bengal, India; [Muthukumar, Palanisamy; Ekka, Jasinta P.] Indian Inst Technol Guwahati, Dept Mech Engn, Gauhati 781039, Assam, India; [Nayak, Prakash K.] CIT Kokrajhar, Dept Food Engn & Technol, Kokrajhar, Assam, India		Muthukumar, P (autor correspondente), Indian Inst Technol Guwahati, Dept Mech Engn, Gauhati 781039, Assam, India.	pmkumar@iitg.ac.in	Ekka, Jasinta Poonam/AAV-5157-2021; Nayak, Prakash Kumar/C-3471-2018	Nayak, Prakash Kumar/0000-0001-5811-6629; Layek, Apurba/0000-0003-1768-7323					32	20	21	0	5	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0145-8876	1745-4530		J FOOD PROCESS ENG	J. Food Process Eng.	JUN	2019	42	4							e13045	10.1111/jfpe.13045	http://dx.doi.org/10.1111/jfpe.13045			12	Engineering, Chemical; Food Science & Technology	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Food Science & Technology	IH6GF					2022-09-29	WOS:000474591600046
J	Kim, KI; Kim, JW; Hong, BS; Shin, DH; Cho, Y; Kim, HK; Yang, HC				Kim, KI; Kim, JW; Hong, BS; Shin, DH; Cho, Y; Kim, HK; Yang, HC			Antitumor, genotoxicity and anticlastogenic activities of polysaccharide from Curcuma zedoaria	MOLECULES AND CELLS			English	Article						Ames test; anticlastogenic effects; antitumor activity; chromssomal aberration assay; Curcuma zedoaria; micronucleus assay; polysaccharide	VITRO MICRONUCLEUS TEST; IN-VITRO; GENETIC TOXICOLOGY; CHROMOSOME	The antitumor effect of the partially purified polysaccharide from Curcuma zedoaria was studied in mice transplanted with sarcoma 180 cells. The polysaccharide fraction, CZ-I-III, at dose of 6.25 mg/kg/d showed 50% inhibition in solid tumor growth. When mice were injected with fractions, CZ-l and CZ-l-m, at the dose of 100.0 mg/kg, 91.6% and 97.1% of tumor growth were inhibited, respectively, indicating that the cytotoxic effect of polysaccharide on sarcoma 180 cells increases upon increasing the amount of polysaccharide administered. To assess the genotoxicity of CZ-1-III fraction, several classical toxicological tests were performed. In Ames test, CZ-1-III did not show any transformation of revertant with or without S-9 metabolic activating system, indicating the lack of mutagenic effect of the compound. To assess clastogenic effect, micronucleus and chromosomal aberration assays were performed using Chinese hamster lung (CHL) fibroblast cells, However up to 259.0 mu g/ml concentration of CZ-1-III, neither micronucleus formation nor chromosomal aberration was induced regardless of the presence of S-9 metabolic activating system. Inhibition of CZ-l-m on micronucleus formation induced by mitomycin C was exhibited in a dose-dependent manner, maximally up to 52.0%. These results strongly suggest that CZ-1-III, the polysaccharide fraction from C, Zedoaria, decreases tumor size of mouse and prevents chromosomal mutation.	Korea Univ, Grad Sch Biotechnol, Seoul 136701, South Korea; Korea Food & Drug Adm, Natl Inst Toxicol Res, Div Genet Toxicol, Seoul 122704, South Korea; Hanseo Univ, Dept Food & Biotechnol, Seosan 356820, South Korea		Kim, KI (autor correspondente), Korea Univ, Grad Sch Biotechnol, Seoul 136701, South Korea.	kikim69@hanmail.net							23	32	36	0	4	KOREAN SOC MOLECULAR & CELLULAR  BIOLOGY	SEOUL	635-4, YUCKSAM-DONG, GANGNAM-GU, SEOUL 135-703, SOUTH KOREA	1016-8478	0219-1032		MOL CELLS	Mol. Cells	AUG 31	2000	10	4					392	398						7	Biochemistry & Molecular Biology; Cell Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Cell Biology	347PZ	10987135				2022-09-29	WOS:000088939500005
J	Pamplona, CR; de Souza, MM; Machado, MD; Cechinel, V; Navarro, D; Yunes, RA; Delle Monache, F; Niero, R				Pamplona, CR; de Souza, MM; Machado, MD; Cechinel, V; Navarro, D; Yunes, RA; Delle Monache, F; Niero, R			Seasonal variation and analgesic properties of different parts from Curcuma zedoaria Roscoe (Zingiberaceae) grown in Brazil	ZEITSCHRIFT FUR NATURFORSCHUNG SECTION C-A JOURNAL OF BIOSCIENCES			English	Article						Curcuma zedoaria; curcumenol; dihydrocurdione	DRUGS; CYTOTOXICITY	This work describes the seasonal variation of curcumenol (1) and dihydrocurdione (2), two active terpenoids from different parts (roots, mother rhizome and rugous rhizome) of Carcuma zedoaria grown in Brazil. The analysis was carried out by high resolution gas chromatography, using external standards for determination. The results showed that both terpenoids are present in all the parts studied. However, C. zedoaria exhibited about three times more terpenoids in the mother rhizome in autumn than in other parts and seasons studied. The antinociceptive activity of the dichloromethane extracts from different parts and collected in different seasons was studied using the acetic acid-induced abdominal constriction model in mice. The extracts obtained from mother rhizome collected in autumn and winter at doses of 10 mg/kg body weight, i.p., caused considerable antinociceptive activity inhibiting 91.1 and 93.4% of the abdominal constrictions, respectively, whereas compounds 1 and 2 caused inhibitions of 64.0 and 46.0%, respectively. These results confirm that both compounds contribute to explain the antinociceptive effect of the plant but suggest that other compounds are also acting as analgesics.	Univ Vale Itajai, NIQFAR, BR-88302202 Itajai, SC, Brazil; Univ Vale Itajai, Programa Mestrado Ciencias Farmaceut, BR-88302202 Itajai, SC, Brazil; Univ Estadual Ponta Grossa, Dept Ciencias Farmaceut, Ponta Grossa, PR, Brazil; Univ Fed Santa Catarina, Dept Quim, Florianopolis, SC, Brazil; CNR, Ctr Chim Recettori, Rome, Italy		Niero, R (autor correspondente), Univ Vale Itajai, NIQFAR, BR-88302202 Itajai, SC, Brazil.	niero@univali.br	Niero, Rivaldo/N-9480-2017; Filho, Valdir Cechinel/H-4920-2011						16	16	18	0	4	WALTER DE GRUYTER GMBH	BERLIN	GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY	0939-5075	1865-7125		Z NATURFORSCH C	Z.Naturforsch.(C)	JAN-FEB	2006	61	1-2					6	10						5	Biochemistry & Molecular Biology; Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Pharmacology & Pharmacy	031BE	16610209				2022-09-29	WOS:000236678300002
J	Riaz, T; Abbasi, MA; Aziz-ur-Rehman; Shazadi, T; Shahid, M				Riaz, Tauheeda; Abbasi, Muhammad Athar; Aziz-ur-Rehman; Shazadi, Tayyaba; Shahid, Muhammad			Assessment of Fumaria indica, Dicliptera bupleuroides and Curcuma zedoaria for their antimicrobial and hemolytic effects	PAKISTAN JOURNAL OF PHARMACEUTICAL SCIENCES			English	Article						Fumaria indica; Dicliptera bupleuroides; Curcuma zedoaria; antibacterial potential; antifungal; disc diffusion method; hemolytic effects	MEDICINAL-PLANTS; EXTRACTS; ANTIBACTERIAL; INHIBITION	The present investigation was undertaken to evaluate the antibacterial, antifungal and hemolytic activities of organic and aqueous fractions of Fumaria indica, Dicliptera bupleuroides and Curcuma zedoaria. The methanolic extracts of the plants were dissolved in the water (distilled) separately and then partitioned with the n-hexane, CHCl3, EtOAc and n-BuOH sequentially. Antibacterial activity was checked against Escherichia coli, Pasturella multocida, Bacillus subtilis and Staphylococcus aureus by the disc diffusion method using streptomycin sulphate, a standard antibiotic, as positive control. Antifungal activity was studied against four fungi i.e. Aspergillus niger, Aspergillus flavus, Ganoderma lucidum and Alternaria alternata by the disc diffusion method using fluconazole, a standard antifungal drug, as positive control. It was revealed that aqueous fraction of F. indica showed very good antibacterial activity against P. multocida with zone of inhibition 26mm and MIC of 98 mu g/mL. Its CHCl3 and n-BuOH fractions also displayed good results. Its CHCl3 fraction showed good antifungal activity against G. lucidum with zone of inhibition 24mm and MIC of 115 mu g/mL. Other polar fractions of F. indica showed good activity against somefungal strains. The CHCl3 and EtOAc fractions of D. bupleuroides displayed good antibacterial activity against some bacterial strains. Its EtOAc fraction showed good antifungal activity only against G lucidum. The CHCl3 fraction of C. zedoaria showed good activity against all studied bacterial strains, while its EtOAc and n-BuOH fractions displayed good results against some bacterial strains. None of the fractions of C. zedoaria displayed antifungal activity against the under test strains. All the studied fractions of three plants showed very less toxicity except n-hexane fraction of D. bupleuroides which showed 79% toxicity.	[Riaz, Tauheeda; Shazadi, Tayyaba] Govt Coll Women Univ, Dept Chem, Sialkot, Pakistan; [Abbasi, Muhammad Athar; Aziz-ur-Rehman] Govt Coll Univ, Dept Chem, Lahore, Pakistan; [Shahid, Muhammad] Univ Agr Faisalabad, Dept Biochem, Faisalabad, Pakistan		Riaz, T (autor correspondente), Govt Coll Women Univ, Dept Chem, Sialkot, Pakistan.	turiaz@gmail.com	Shahid, Muhammad/ABA-4145-2020						20	2	2	0	2	UNIV KARACHI	KARACHI	UNIV CAMPUS, FAC PHARMACY, KARACHI, 75270, PAKISTAN	1011-601X			PAK J PHARM SCI	Pak. J. Pharm. Sci.	MAR	2019	32	2					697	702						6	Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy	HU1XL	31081785				2022-09-29	WOS:000465065000031
J	Bugno, A; Nicoletti, MA; Almodovar, AAB; Pereira, TC; Auricchio, MT				Bugno, Adriana; Nicoletti, Maria Aparecida; Almodovar, Adriana A. B.; Pereira, Tatiana C.; Auricchio, Mariangela T.			Antimicrobial efficacy of Curcuma zedoaria extract as assessed by linear regression compared with commercial mouthrinses	BRAZILIAN JOURNAL OF MICROBIOLOGY			English	Article						Curcuma zedoaria; mouthrinse; antimicrobial activity; logarithmic reduction	ESSENTIAL OIL; IN-VITRO; PLAQUE; SUSCEPTIBILITY; TRICLOSAN	The antimicrobial activity of Curcuma zedoaria (Christm) Roscoe extract against some oral microorganisms was compared with the antimicrobial activity of five commercial mouthrinses in order to evaluate the potential of the plant extract to be incorporated into formulas for improving or creating antiseptic activity. The in vitro antimicrobial efficacy of plant extracts and commercial products were evaluated against Streptococcus mutans, Enterococcus faecalis, Staphylococcus aureus and Candida albicans using a linear regression method to evaluate the microbial reduction obtained in function of the exposure time, considering as effectiveness a 99.999% reduction in count of standardized microbial populations within 60 seconds. The results showed that the antimicrobial efficacy of Curcuma zedoaria ( Christm) Roscoe extract was similar to that of commercial products, and its incorporation into a mouthrinse could be an alternative for improving the antimicrobial efficacy of the oral product.	Adolfo Lutz Inst, BR-01246902 Sao Paulo, SP, Brazil; Univ Sao Paulo, Fac Ciencias Farmaceut, Dept Farm, Sao Paulo, SP, Brazil		Bugno, A (autor correspondente), Adolfo Lutz Inst, Av Dr Arnaldo,355, BR-01246902 Sao Paulo, SP, Brazil.	adrbugno@ial.sp.gov.br	Bugno, Adriana/J-3785-2013	Bugno, Adriana/0000-0002-7361-405X					27	17	22	0	4	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1517-8382	1678-4405		BRAZ J MICROBIOL	Braz. J. Microbiol.	JUL-SEP	2007	38	3					440	445		10.1590/S1517-83822007000300011	http://dx.doi.org/10.1590/S1517-83822007000300011			6	Microbiology	Science Citation Index Expanded (SCI-EXPANDED)	Microbiology	220RR		Green Published, Green Submitted, gold			2022-09-29	WOS:000250175500011
J	Tipthara, P; Sangvanich, P; Macth, M; Petsom, A				Tipthara, Ponpimol; Sangvanich, Polkit; Macth, Marcus; Petsom, Amorn			Mannose-binding lectin from Curcuma zedoaria Rosc.	JOURNAL OF PLANT BIOLOGY			English	Article						Curcuma zedoaria; de novo sequencing; hemagglutinating activity; MALDI-TOF/TOF; mannose-binding lectin	PLANT-LECTINS; SESQUITERPENES; CYTOTOXICITY; PROTEIN; CLONING; CDNA	A mannose-binding lectin was isolated from rhizomes of the medicinal plant Curcurna zedoaria. We used extraction with 20 mM phosphate buffer, ammonium sulfate precipitation, ion exchange chromatography on Q-Sepharose, gel filtration chromatography on Superdex 75, and reverse-phase HPLC. The purified lectin yielded a single band on SIDS-PAGE that corresponded to a molecular mass of 13 kDa. This lectin exhibited hemagglutinating activity toward rabbit erythrocytes, which could be inhibited by mannose only. The lectin was digested with trypsin and its digests were analyzed using MALDI-TOF/TOF. Partial amino acid sequences were obtained from tandem mass spectra via automated de novo sequencing, and were then identified by MS-BLAST homology searches to enable recognition of related proteins in other species. inferred peptide sequences exhibited similarity to a mannose-binding lectin from Epipactis helleborine, a member of the Orchidaceae.	Chulalongkorn Univ, Dept Chem, Fac Sci, Res Ctr Bioorgan Chem, Bangkok 10330, Thailand; Chulalongkorn Univ, Inst Biotechnol & Genet Engn, Bangkok 10330, Thailand; Bruker Daltonics Inc, D-04318 Leipzig, Germany		Petsom, A (autor correspondente), Chulalongkorn Univ, Dept Chem, Fac Sci, Res Ctr Bioorgan Chem, Bangkok 10330, Thailand.	amorn.p@chula.ac.th	Sangvanich, Polkit/AAT-2265-2020; Sangvanich, Polkit/A-1921-2009; Sangvanich, Polkit/GRS-9545-2022	Sangvanich, Polkit/0000-0002-2766-7505; Petsom, Amorn/0000-0001-6969-4790; Sangvanich, Polkit/0000-0002-4096-6358					21	7	7	1	5	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	1226-9239	1867-0725		J PLANT BIOL	J. Plant Biol.	APR 30	2007	50	2					167	173		10.1007/BF03030626	http://dx.doi.org/10.1007/BF03030626			7	Plant Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Plant Sciences	169CY					2022-09-29	WOS:000246571500013
J	Jang, MK; Lee, HJ; Kim, JS; Ryu, JH				Jang, MK; Lee, HJ; Kim, JS; Ryu, JH			A curcuminoid and two sesquiterpenoids from Curcuma zedoaria as inhibitors of nitric oxide synthesis in activated macrophages	ARCHIVES OF PHARMACAL RESEARCH			English	Article						nitric oxide synthase; inhibitor; Curcuma zedoaria; curcuminoid; sesquiterpene	GAJUTSULACTONE-B; ZEDOAROLIDE-B; SYNTHASE; RHIZOMA; NEOCURCUMENOL; SUPPRESSION; RAW-264.7; ENZYME	The overproduction of nitric oxide (NO) by inducible nitric oxide synthase (iNOS) is known to be responsible for vasodilation and hypotension observed in septic shock and inflammation. Inhibitors of iNOS, thus, may be useful candidates for the treatment of inflammatory diseases accompanied by overproduction of NO. In the course of screening oriental anti-inflammatory herbs for the inhibitory activity of NO synthesis, a crude methanolic extract of Curcuma zedoaria exhibited significant activity. The activity-guided fractionation and repetitive chromatographic procedures with the EtOAc soluble fraction allowed us to isolate three active compounds. They were identified as 1,7-bis (4-hydroxyphenyl)-1,4,6-heptatrien-3-one (1), procurcumenol (2) and epiprocurcumenol (3) by spectral data analyses. Their concentrations for the 50% inhibition of NO production (IC50) in lipopolysaccharide (LPS)-activated macrophages were 8, 75, 77 muM, respectively. Compound 1 showed the most potent inhibitory activity for NO production in LPS-activated macrophages, while the epimeric isomers, compound 2 and 3 showed weak and similar potency. Inhibition of NO synthesis by compound 1 was very weak when activated macrophages were treated with 1 after iNOS induction. In the immunoblot analysis, compound 1 suppressed the expression of iNOS in a dose-dependent manner. In summary, 1,7-bis (4-hydroxyphenyl)-1,4,6-heptatrien-3-one from Curcuma zedoaria inhibited NO production in LPS-activated macrophages through suppression of iNOS expression. These results imply that the traditional use of C. zedoaria rhizome as anti-inflammatory drug may be explained at least in part, by inhibition of NO production.	Sookmyung Womens Univ, Coll Pharm, Seoul 140742, South Korea		Ryu, JH (autor correspondente), Sookmyung Womens Univ, Coll Pharm, Seoul 140742, South Korea.	ryuha@sookmyung.ac.kr							20	21	24	0	13	PHARMACEUTICAL SOC KOREA	SEOUL	1489-3 SUHCHO-DONG, SUHCHO-KU, SEOUL 137-071, SOUTH KOREA	0253-6269	1976-3786		ARCH PHARM RES	Arch. Pharm. Res.	DEC	2004	27	12					1220	1225		10.1007/BF02975885	http://dx.doi.org/10.1007/BF02975885			6	Chemistry, Medicinal; Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy	883BD	15646795				2022-09-29	WOS:000225984100007
